Time [s], Analyzer Name, Decoded Protocol Result
1.229137937500000,HD44780,Write Command 0 (Function Set 8-bit; 1 Line; 5x8)
1.235137750000000,HD44780,Write Command 8 (Function Set 8-bit; 2 Lines; 5x8)
1.241137312500000,HD44780,Write Command '8' (Display Off; Cursor Off; Blink Off)
1.247137000000000,HD44780,Write Command '1' (Clear Display)
1.254136750000000,HD44780,Write Command '2' (Return Home)
1.260136625000000,HD44780,Write Command '15' (Display On; Cursor On; Blink On)
1.333134062500000,HD44780,Write Command 0 (Function Set 8-bit; 1 Line; 5x8)
1.343133562500000,HD44780,Write Command 0 (Function Set 8-bit; 1 Line; 5x8)
1.349133312500000,HD44780,Write Command 0 (Function Set 8-bit; 1 Line; 5x8)
1.355133062500000,HD44780,Write Command 8 (Function Set 8-bit; 2 Lines; 5x8)
1.361132687500000,HD44780,Write Command '8' (Display Off; Cursor Off; Blink Off)
1.367132375000000,HD44780,Write Command '1' (Clear Display)
1.374132125000000,HD44780,Write Command '2' (Return Home)
1.380132000000000,HD44780,Write Command '15' (Display On; Cursor On; Blink On)
1.453129437500000,HD44780,Write Command 0 (Function Set 8-bit; 1 Line; 5x8)
1.463128937500000,HD44780,Write Command 0 (Function Set 8-bit; 1 Line; 5x8)
1.469128687500000,HD44780,Write Command 0 (Function Set 8-bit; 1 Line; 5x8)
1.475128437500000,HD44780,Write Command 8 (Function Set 8-bit; 2 Lines; 5x8)
1.481128062500000,HD44780,Write Command '8' (Display Off; Cursor Off; Blink Off)
1.487127750000000,HD44780,Write Command '1' (Clear Display)
1.494127500000000,HD44780,Write Command '2' (Return Home)
1.500127375000000,HD44780,Write Command '15' (Display On; Cursor On; Blink On)
1.573124812500000,HD44780,Write Command 0 (Function Set 8-bit; 1 Line; 5x8)
1.583124312500000,HD44780,Write Command 0 (Function Set 8-bit; 1 Line; 5x8)
1.589124062500000,HD44780,Write Command 0 (Function Set 8-bit; 1 Line; 5x8)
1.595123812500000,HD44780,Write Command 8 (Function Set 8-bit; 2 Lines; 5x8)
1.601123437500000,HD44780,Write Command '8' (Display Off; Cursor Off; Blink Off)
1.607123125000000,HD44780,Write Command '1' (Clear Display)
1.614122875000000,HD44780,Write Command '2' (Return Home)
1.620122687500000,HD44780,Write Command '15' (Display On; Cursor On; Blink On)
1.693120187500000,HD44780,Write Command 0 (Function Set 8-bit; 1 Line; 5x8)
1.703119687500000,HD44780,Write Command 0 (Function Set 8-bit; 1 Line; 5x8)
1.709119375000000,HD44780,Write Command 0 (Function Set 8-bit; 1 Line; 5x8)
1.715119187500000,HD44780,Write Command 8 (Function Set 8-bit; 2 Lines; 5x8)
1.721118812500000,HD44780,Write Command '8' (Display Off; Cursor Off; Blink Off)
1.727118437500000,HD44780,Write Command '1' (Clear Display)
1.734118250000000,HD44780,Write Command '2' (Return Home)
1.740118062500000,HD44780,Write Command '15' (Display On; Cursor On; Blink On)
1.813115562500000,HD44780,Write Command 0 (Function Set 8-bit; 1 Line; 5x8)
1.823115062500000,HD44780,Write Command 0 (Function Set 8-bit; 1 Line; 5x8)
1.829114750000000,HD44780,Write Command 0 (Function Set 8-bit; 1 Line; 5x8)
1.835114562500000,HD44780,Write Command 8 (Function Set 8-bit; 2 Lines; 5x8)
1.841114125000000,HD44780,Write Command '8' (Display Off; Cursor Off; Blink Off)
1.847113812500000,HD44780,Write Command '1' (Clear Display)
1.854113562500000,HD44780,Write Command '2' (Return Home)
1.860113437500000,HD44780,Write Command '15' (Display On; Cursor On; Blink On)
1.933110875000000,HD44780,Write Command 0 (Function Set 8-bit; 1 Line; 5x8)
1.943110375000000,HD44780,Write Command 0 (Function Set 8-bit; 1 Line; 5x8)
1.949110125000000,HD44780,Write Command 0 (Function Set 8-bit; 1 Line; 5x8)
1.955109875000000,HD44780,Write Command 8 (Function Set 8-bit; 2 Lines; 5x8)
1.961109500000000,HD44780,Write Command '8' (Display Off; Cursor Off; Blink Off)
1.967109187500000,HD44780,Write Command '1' (Clear Display)
1.974108937500000,HD44780,Write Command '2' (Return Home)
1.980108812500000,HD44780,Write Command '15' (Display On; Cursor On; Blink On)
2.053106250000000,HD44780,Write Command 0 (Function Set 8-bit; 1 Line; 5x8)
2.063105750000000,HD44780,Write Command 0 (Function Set 8-bit; 1 Line; 5x8)
2.069105500000000,HD44780,Write Command 0 (Function Set 8-bit; 1 Line; 5x8)
2.075105250000000,HD44780,Write Command 8 (Function Set 8-bit; 2 Lines; 5x8)
2.081104875000000,HD44780,Write Command '8' (Display Off; Cursor Off; Blink Off)
2.087104562500000,HD44780,Write Command '1' (Clear Display)
2.094104312500000,HD44780,Write Command '2' (Return Home)
2.100104187500000,HD44780,Write Command '15' (Display On; Cursor On; Blink On)
2.173101625000000,HD44780,Write Command 0 (Function Set 8-bit; 1 Line; 5x8)
2.183101125000000,HD44780,Write Command 0 (Function Set 8-bit; 1 Line; 5x8)
2.189100875000000,HD44780,Write Command 0 (Function Set 8-bit; 1 Line; 5x8)
2.195100625000000,HD44780,Write Command 8 (Function Set 8-bit; 2 Lines; 5x8)
2.201100250000000,HD44780,Write Command '8' (Display Off; Cursor Off; Blink Off)
2.207099937500000,HD44780,Write Command '1' (Clear Display)
2.214099687500000,HD44780,Write Command '2' (Return Home)
2.220099500000000,HD44780,Write Command '15' (Display On; Cursor On; Blink On)
2.293097000000000,HD44780,Write Command 0 (Function Set 8-bit; 1 Line; 5x8)
2.303096500000000,HD44780,Write Command 0 (Function Set 8-bit; 1 Line; 5x8)
2.309096187500000,HD44780,Write Command 0 (Function Set 8-bit; 1 Line; 5x8)
2.315096000000000,HD44780,Write Command 8 (Function Set 8-bit; 2 Lines; 5x8)
2.321095562500000,HD44780,Write Command '8' (Display Off; Cursor Off; Blink Off)
2.327095250000000,HD44780,Write Command '1' (Clear Display)
2.334095062500000,HD44780,Write Command '2' (Return Home)
2.340094875000000,HD44780,Write Command '15' (Display On; Cursor On; Blink On)
2.413092312500000,HD44780,Write Command 0 (Function Set 8-bit; 1 Line; 5x8)
2.423091812500000,HD44780,Write Command 0 (Function Set 8-bit; 1 Line; 5x8)
2.429091562500000,HD44780,Write Command 0 (Function Set 8-bit; 1 Line; 5x8)
2.435091375000000,HD44780,Write Command 8 (Function Set 8-bit; 2 Lines; 5x8)
2.441090937500000,HD44780,Write Command '8' (Display Off; Cursor Off; Blink Off)
2.447090625000000,HD44780,Write Command '1' (Clear Display)
2.454090375000000,HD44780,Write Command '2' (Return Home)
2.460090250000000,HD44780,Write Command '15' (Display On; Cursor On; Blink On)
2.533087687500000,HD44780,Write Command 0 (Function Set 8-bit; 1 Line; 5x8)
2.543087187500000,HD44780,Write Command 0 (Function Set 8-bit; 1 Line; 5x8)
2.549086937500000,HD44780,Write Command 0 (Function Set 8-bit; 1 Line; 5x8)
2.555086687500000,HD44780,Write Command 8 (Function Set 8-bit; 2 Lines; 5x8)
2.561086312500000,HD44780,Write Command '8' (Display Off; Cursor Off; Blink Off)
2.567086000000000,HD44780,Write Command '1' (Clear Display)
2.574085750000000,HD44780,Write Command '2' (Return Home)
2.580085625000000,HD44780,Write Command '15' (Display On; Cursor On; Blink On)
2.653083062500000,HD44780,Write Command 0 (Function Set 8-bit; 1 Line; 5x8)
2.663082562500000,HD44780,Write Command 0 (Function Set 8-bit; 1 Line; 5x8)
2.669082312500000,HD44780,Write Command 0 (Function Set 8-bit; 1 Line; 5x8)
2.675082062500000,HD44780,Write Command 8 (Function Set 8-bit; 2 Lines; 5x8)
2.681081687500000,HD44780,Write Command '8' (Display Off; Cursor Off; Blink Off)
2.687081375000000,HD44780,Write Command '1' (Clear Display)
2.694081125000000,HD44780,Write Command '2' (Return Home)
2.700080937500000,HD44780,Write Command '15' (Display On; Cursor On; Blink On)
2.773078437500000,HD44780,Write Command 0 (Function Set 8-bit; 1 Line; 5x8)
2.783077937500000,HD44780,Write Command 0 (Function Set 8-bit; 1 Line; 5x8)
2.789077625000000,HD44780,Write Command 0 (Function Set 8-bit; 1 Line; 5x8)
2.795077437500000,HD44780,Write Command 8 (Function Set 8-bit; 2 Lines; 5x8)
